LotFrontage,LotArea,LotShape,LandContour,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,SalePrice,LogSalePrice,total_sf,total_bathrooms,total_porch_sf,house_age,remod_age,has_remodelled,qual_x_sf,overall_score,has_garage,has_basement,MSSubClass_145,MSSubClass_20,MSSubClass_30,MSSubClass_40,MSSubClass_45,MSSubClass_50,MSSubClass_60,MSSubClass_70,MSSubClass_75,MSSubClass_80,MSSubClass_85,MSSubClass_90,MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_AsphShn,Exterior2nd_Brk Cmn,Exterior2nd_BrkFace,Exterior2nd_CBlock,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_ImStucc,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,MasVnrType_BrkFace,MasVnrType_No,MasVnrType_Stone,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_No,MoSold_10,MoSold_11,MoSold_12,MoSold_2,MoSold_3,MoSold_4,MoSold_5,MoSold_6,MoSold_7,MoSold_8,MoSold_9,YrSold_2007,YrSold_2008,YrSold_2009,YrSold_2010,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,neighbourhood_tier_Low,neighbourhood_tier_Mid
65.0,8450.0,4,4,3,7,5,2003,2003,5.2832037287379885,4,3,4,3,1,6,706.0,1,150.0,856,5,1,856.0,854,1710.0,1.0,2,1,3.0,4,8,8,0.0,0,7.602900462204755,2,2.0,548.0,3,3,2,0.0,4.127134385045092,208500,12.247694320220994,2566.0,3.5,4.127134385045092,5,5,0,11970.0,35,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
80.0,9600.0,4,4,3,6,8,1976,1976,0.0,3,3,4,3,4,5,978.0,1,284.0,1262,5,1,1262.0,0,1262.0,0.0,2,0,3.0,3,6,8,1.0,3,7.589335823170617,2,2.0,460.0,3,3,2,5.700443573390687,0.0,181500,12.109010932687042,2524.0,2.0,0.0,31,31,0,7572.0,48,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
68.0,11250.0,3,4,3,7,5,2001,2002,5.093750200806762,4,3,4,3,2,6,486.0,1,434.0,920,5,1,920.0,866,1786.0,1.0,2,1,3.0,4,6,8,1.0,3,7.601901959875166,2,2.0,608.0,3,3,2,0.0,3.7612001156935624,223500,12.31716669303576,2706.0,3.5,3.7612001156935624,7,6,1,12502.0,35,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
60.0,9550.0,3,4,3,7,5,1915,1970,0.0,3,3,3,4,1,5,216.0,1,540.0,756,4,1,961.0,756,1717.0,1.0,1,0,3.0,4,7,8,1.0,4,7.6004023345004,1,3.0,642.0,3,3,2,0.0,3.58351893845611,140000,11.84939770159144,2473.0,2.0,3.58351893845611,91,36,1,12019.0,35,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
84.0,14260.0,3,4,3,8,5,2000,2000,5.860786223465865,4,3,4,3,3,6,655.0,1,490.0,1145,5,1,1145.0,1053,2198.0,1.0,2,1,4.0,4,9,8,1.0,3,7.601402334583733,2,3.0,836.0,3,3,2,5.262690188904886,4.442651256490317,250000,12.429216196844385,3343.0,3.5,4.442651256490317,8,8,0,17584.0,40,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
85.0,14115.0,3,4,3,5,5,1993,1995,0.0,3,3,4,3,1,6,732.0,1,64.0,796,5,1,796.0,566,1362.0,1.0,1,1,1.0,3,5,8,0.0,0,7.597897950521784,1,2.0,480.0,3,3,2,3.713572066704308,3.4339872044851463,143000,11.870599909242044,2158.0,2.5,3.4339872044851463,16,14,1,6810.0,25,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
75.0,10084.0,4,4,3,8,5,2004,2005,5.231108616854587,4,3,5,3,3,6,1369.0,1,317.0,1686,5,1,1694.0,0,1694.0,1.0,2,0,3.0,4,7,8,1.0,4,7.60339933974067,2,2.0,636.0,3,3,2,5.545177444479562,4.060443010546419,307000,12.634603026569334,3380.0,3.0,4.060443010546419,3,2,1,13552.0,40,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
80.0,10382.0,3,4,3,7,6,1973,1973,5.484796933490655,3,3,4,3,2,5,859.0,4,216.0,1107,5,1,1107.0,983,2090.0,1.0,2,1,3.0,3,7,8,2.0,3,7.587817219993427,2,2.0,484.0,3,3,2,5.4638318050256105,5.14166355650266,200000,12.206072645530174,3197.0,3.5,5.14166355650266,36,36,0,14630.0,42,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
51.0,6120.0,4,4,3,7,5,1931,1950,0.0,3,3,3,3,1,1,0.0,1,952.0,952,4,1,1022.0,752,1774.0,0.0,2,0,2.0,3,8,7,2.0,3,7.566311014772463,1,2.0,468.0,2,3,2,4.51085950651685,0.0,129900,11.77452020265869,2726.0,2.0,0.0,77,58,1,12418.0,35,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
50.0,7420.0,4,4,3,5,6,1939,1950,0.0,3,3,3,3,1,6,851.0,1,140.0,991,5,1,1077.0,0,1077.0,1.0,1,0,2.0,3,5,8,2.0,3,7.570443252057374,2,1.0,205.0,4,3,2,0.0,1.6094379124341003,118000,11.6784399034478,2068.0,2.0,1.6094379124341003,69,58,1,5385.0,30,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
